Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,All‐cause mortality at day 28,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Gonzalez 2021,2021,0.0,0.0,0.0,0.0,5,36,0.0,0.0,6,37,0.0,0.0,79.463014,0.856481,0.286661,2.558987,"Time point (28 days), participants (WHO 5), intervention (ivermectin 12 mg or 18 mg daily for 5 days), comparator (placebo)",Some concerns,<p>Computer-generated randomization. There was no information on allocation concealment. Baseline details differed between groups. Due to small group sizes and stratification according to QT prolongation the deviations may be caused by chance.</p>,Some concerns,<p>Participants were not aware of the intervention received. No information on those delivering the intervention. No information reported whether there were deviations from the intended interventions or not. 2/108 participants were excluded from analysis due to transfer to another hospital (mITT).</p>,Low risk,<p>Most people were followed up &gt; 95%. 2/108 participants were excluded from analysis due to transfer to another hospital.</p>,Low risk,<p>There was insufficient information on whether the outcome assessors were aware of the intervention received. But knowledge of intervention received could not have affected outcome measurement.</p>,Some concerns,<p>The protocol was prospectively registered and the outcome was registered. The time point of outcome measurement was not defined.</p>,Some concerns,<p>Due to insufficient information on allocation concealment and blinding of healthcare providers. Due to lack of defining the time point of outcome measurement in the protocol.</p>
1,1,All‐cause mortality at day 28,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Kirti 2021,2021,0.0,0.0,0.0,0.0,0,55,0.0,0.0,3,57,0.0,0.0,20.536986,0.147959,0.007819,2.799748,"Time point (28 days), participants (WHO 4 to 5), intervention (ivermectin 12 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an independent person not part of the investigating team using a computer-based program. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. 1/57 participants in the intervention group and 1/58 participants in the control group received ivermectin by the treating team. Both participants were excluded (per protocol analysis). The analysis was not appropriate, but it is unlikely to have an impact on the result.</p>",Low risk,<p>Most people were followed up &gt;95%.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to inappropriate analysis (per protocol analysis).</p>
1,1,All‐cause mortality at day 28,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,0,30,0.0,0.0,0,15,0.0,0.0,,,,,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The reason for withdrawals and changing treatments/ withdrawal are consistent with routine care. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants. </p>,Low risk,<p>Outcome assessors were aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered as part of the AE outcome.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
1,2,Worsening of clinical status at day 28: participants with new need for invasive mechanical ventilation or death,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Gonzalez 2021,2021,0.0,0.0,0.0,0.0,6,36,0.0,0.0,8,37,0.0,0.0,91.567062,0.770833,0.296957,2.000908,"Time point (28 days), participants (WHO 5), intervention (ivermectin 12 mg or 18 mg daily for 5 days), comparator (placebo)",Some concerns,<p>Computer-generated randomization. There was no information on allocation concealment. Baseline details differed between groups. Due to small group sizes and stratification according to QT prolongation the deviations may be caused by chance.</p>,Some concerns,<p>Participants were not aware of the intervention received. No information on those delivering the intervention. No information reported whether there were deviations from the intended interventions or not. The analysis was appropriate (mITT).</p>,Low risk,<p>Most people were followed up &gt; 95%. 2/108 participants were excluded from analysis due to transfer to another hospital.</p>,Low risk,"<p>There was insufficient information on whether the outcome assessors were aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Some concerns,<p>The protocol was prospectively registered and the outcome was registered. The time point of outcome measurement was not defined.</p>,Some concerns,<p>Due to insufficient information on allocation concealment and blinding of healthcare providers. Due to lack of defining the time point of outcome measurement in the protocol.</p>
1,2,Worsening of clinical status at day 28: participants with new need for invasive mechanical ventilation or death,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,1,30,0.0,0.0,0,15,0.0,0.0,8.432938,1.548387,0.066803,35.889386,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The reason for withdrawals and changing treatments/withdrawal are consistent with routine care. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants. <br/> </p>,Low risk,"<p>Outcome assessors were aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Low risk,<p>The protocol was prospectively registered and the outcome clincial worsening (7 days) and mortality (30 days) were reported as registered. The timepoint clinical worsening at 30 days was not registered but results were described in full detail additionally for the registered overall follow-up of patients. Due to relevance of this outcome data in this context of this trial we did not assume that the results have been selected.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
1,3,Improvement of clinical status at day 28: participants discharged alive,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Gonzalez 2021,2021,0.0,0.0,0.0,0.0,27,36,0.0,0.0,27,37,0.0,0.0,100.0,1.027778,0.782962,1.349142,"Time point (28 days), participants (WHO 5), intervention (ivermectin 12 mg or 18 mg daily for 5 days), comparator (placebo)",Some concerns,<p>Computer-generated randomization. There was no information on allocation concealment. Baseline details differed between groups. Due to small group sizes and stratification according to QT prolongation the deviations may be caused by chance.</p>,Some concerns,<p>Participants were not aware of the intervention received. No information on those delivering the intervention. No information reported whether there were deviations from the intended interventions or not. The analysis was appropriate (mITT).</p>,Low risk,<p>Most people were followed up &gt; 95%. 2/108 participants were excluded from analysis due to transfer to another hospital.</p>,Low risk,"<p>There was insufficient information on whether the outcome assessors were aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified in the study protocol.</p>,Some concerns,<p>Due to insufficient information on allocation concealment and blinding of healthcare providers. Due to lack of registering the outcome in the protocol.</p>
1,4,Serious adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,1,30,0.0,0.0,0,15,0.0,0.0,100.0,1.548387,0.066803,35.889386,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. 2/30 participants in the intervention group withdrew consent due to adverse events and 1/15 participants in the control group was withdrawn due to initiation of lopinavir. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Some concerns,"<p>Outcome assessors were aware of the intervention received. There was insufficient information on definition and measurement of the outcome. Judgement of severity of symptoms could have been influenced by knowledge of the intervention, regarding the results it seems not likely.</p>",Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified.</p>,Some concerns,"<p>Due to lack of information on definition and measurement of the outcome, lack of blinding of participants, healthcare providers, and outcome assessors, and lack of prospectively registering the outcome.</p>"
1,4,Serious adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Mohan 2021,2021,0.0,0.0,0.0,0.0,0,100,0.0,0.0,0,52,0.0,0.0,,,,,"Time point (14 days), participants (WHO 4 to 5 incl. asymptomatic people), intervention (ivermectin 12 mg and 24 mg, single dose), comparator (placebo)",Low risk,<p>Centralized telephone-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Most people were followed up &gt; 95%. Five participants withdrew consent.</p>,Some concerns,<p>Outcome assessors were not aware of the intervention received. There was insufficient information on definition and measurement of the outcome.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to insufficient information on outcome definition and measurement of the outcome.</p>
1,5,Any adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,13,30,0.0,0.0,5,15,0.0,0.0,42.656704,1.3,0.570045,2.964679,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The reason for withdrawals and changing treatments/withdrawal are consistent with routine care. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,High risk,<p>Outcome assessors were aware of the intervention received. There was insufficient information on definition and measurement of the outcome. Knowledge of intervention received could have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,High risk,<p>Due to lack of information on definition and measurement of the outcome and lack of blinding of outcome assessors.</p>
1,5,Any adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Mohan 2021,2021,0.0,0.0,0.0,0.0,14,100,0.0,0.0,6,52,0.0,0.0,36.133266,1.213333,0.495412,2.971623,"Time point (14 days), participants (WHO 4 to 5 incl. asymptomatic people), intervention (ivermectin 12 mg and 24 mg, single dose, oral), comparator (placebo)",Low risk,<p>Centralized telephone-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Most people were followed up &gt; 95%. Five participants withdrew consent.</p>,Some concerns,<p>Outcome assessors were not aware of the intervention received. There was insufficient information on definition and measurement of the outcome.</p>,Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified.</p>,Some concerns,"<p>Due to insufficient information on outcome definition and measurement of the outcome, and lack of prospectively registering the outcome.</p>"
1,5,Any adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Pott-Junior 2021,2021,0.0,0.0,0.0,0.0,7,27,0.0,0.0,2,4,0.0,0.0,21.210031,0.518519,0.161071,1.669212,"Time point (28 days), participants (unclear, min. WHO 4, 20% WHO 5), intervention (ivermectin 0.1 mg/kg, 0.2 mg/kg, and 0.4 mg/kg over 72 h), comparator (SoC)",Low risk,<p>Random sequence was generated by a computer-based programme. Allocation assignment was concealed from investigators and patients using sequentially-numbered sealed opaque envelopes. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. None of the patients discontinued the assigned intervention. The analysis was appropriate (mITT).</p>,Low risk,<p>Most people were followed up &gt; 90%. One participant dropped out.</p>,High risk,<p>Outcome assessors were aware of the intervention received. There was insufficient information on measurement of the outcome. Knowledge of intervention received could have affected outcome measurement.</p>,Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified.</p>,High risk,<p>Due to lack of information on definition and measurement of the outcome and lack of blinding of outcome assessors. Due to lack of prospectively registering the outcome.</p>
1,6,Viral clearance at day 3,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Mohan 2021,2021,0.0,0.0,0.0,0.0,10,80,0.0,0.0,7,45,0.0,0.0,100.0,0.803571,0.328618,1.964979,"Time point (3 days), participants (WHO 4 to 5 incl. asymptomatic people), intervention (ivermectin 12 mg and 24 mg, single dose), comparator (placebo)",Low risk,<p>Centralized telephone-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Reasons for missing outcome data were described and appropriate in the context of this outcome (only RT-PCR positive people at baseline). 11/125 participants were no longer hospitalized at day 7 and missing for analysis.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
1,7,Viral clearance at day 7,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Kirti 2021,2021,0.0,0.0,0.0,0.0,13,32,0.0,0.0,18,44,0.0,0.0,38.639064,0.993056,0.573434,1.719745,"Time point (6 days), participants (WHO 4 to 5), intervention (ivermectin 12 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an independent person not part of the investigating team using a computer-based program. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. 1/57 participants in the intervention group and 1/58 participants in the control group received ivermectin by the treating team. Both participants were excluded (per protocol analysis). The analysis was not appropriate, but it is unlikely to have an impact on the result.</p>",High risk,<p>More than 30% of participants were missing due to discharge or inconclusive results. There is no analysis to look at the effect of the missing data.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,High risk,<p>Due to inappropriate analysis (per protocol analysis) and missing outcome data.</p>
1,7,Viral clearance at day 7,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Mohan 2021,2021,0.0,0.0,0.0,0.0,33,80,0.0,0.0,14,45,0.0,0.0,45.265589,1.325893,0.798298,2.202175,"Time point (5 days), participants (WHO 4 to 5 incl. asymptomatic people), intervention (ivermectin 12 mg and 24 mg, single dose, oral), comparator (placebo)",Low risk,<p>Centralized telephone-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Reasons for missing outcome data were described and appropriate in the context of this outcome (only RT-PCR positive people at baseline). 11/125 participants were no longer hospitalized at day 7 and missing for analysis.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
1,7,Viral clearance at day 7,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Pott-Junior 2021,2021,0.0,0.0,0.0,0.0,17,27,0.0,0.0,2,3,0.0,0.0,16.095347,0.944444,0.403329,2.211532,"Time point (7 days), participants (unclear, min. WHO 4, 20% WHO 5), intervention (ivermectin 0.1 mg/kg, 0.2 mg/kg, and 0.4 mg/kg over 72 hours), comparator (SoC)",Low risk,<p>Random sequence was generated by a computer-based programme. Allocation assignment was concealed from investigators and patients using sequentially-numbered sealed opaque envelopes. There was no baseline imbalance that would suggest a problem with randomization.</p>,High risk,<p>Both participants and those delivering the intervention were aware of intervention received. 1/4 participants in the control group was excluded due to protocol violation (per protocol analysis). Protocol violation was not described. The analysis was not appropriate and due to the small number of participants in the control group (n = 4) the excluded participant may have changed the result.</p>,Low risk,<p>Most people were followed up &gt; 90%. Two patients were missing (one dropout and one protocol violation).</p>,Low risk,<p>Outcome assessors were aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Some concerns,<p>The protocol was prospectively registered. The outcome was not measured as registered. The change may have been due to varying recommendations of PCR testing during the pandemic.</p>,High risk,<p>Due to inappropriate analysis (per protocol analysis).</p>
2,1,All‐cause mortality at day 28,,SUBGROUP_AND_OVERALL,Bounfrate 2021,2021,0.0,0.0,0.0,0.0,0,58,0.0,0.0,0,31,0.0,0.0,,,,,"Time point (30 days), participants (WHO 1 to 3), intervention (ivermectin 0.6 mg/kg and 1.2 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were reported for all participants that were randomized and did not withdraw consent before the study start.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,"<p>The protocol was prospectively registered and the outcome was not specifically registered, but only reported upon request. Therefore no bias was introduced.</p>",Low risk,<p>Due to low risk of bias in all domains. </p>
2,1,All‐cause mortality at day 28,,SUBGROUP_AND_OVERALL,Chaccour 2021,2021,0.0,0.0,0.0,0.0,0,12,0.0,0.0,0,12,0.0,0.0,,,,,"Time point (28 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg, single dose), comparator (placebo)",Low risk,<p>Randomization was performed by an independent trial statistician generating a list of random numbers. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,"<p>Both participants and those delivering the intervention were not aware of the intervention received, there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,"<p>The protocol was prospectively registered. The outcome was not registered, but results were in full detail reported in the trial register. Due to relevance of this outcome data in this context of this trial we did not assume that the results have been selected.</p>",Low risk,<p>Due to low risk of bias in all domains.</p>
2,1,All‐cause mortality at day 28,,SUBGROUP_AND_OVERALL,I-TECH 2022,2022,0.0,0.0,0.0,0.0,3,241,0.0,0.0,10,249,0.0,0.0,14.65557,0.309959,0.086353,1.112573,"Time point (28 days), participants (WHO 2 to 4), intervention (ivermectin 0.4 mg/kg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The majority of the patients adhered to the assigned intervention. The analysis was appropriate (mITT).</p>,Low risk,<p>Data for this outcome were reported for all participants that meet inclusion and exclusion criteria (miTT population).</p>,Low risk,<p>Outcome assessors were aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,1,All‐cause mortality at day 28,,SUBGROUP_AND_OVERALL,López-Medina 2021,2021,0.0,0.0,0.0,0.0,0,200,0.0,0.0,1,198,0.0,0.0,2.34545,0.330017,0.013525,8.052547,"Time point (21 days), participants (WHO 2 to 5, < 1% participants at WHO 4 and 5), intervention (ivermectin 0.3 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Random sequence was generated by an independent pharmacist using a computer-based programme. Allocation assignment was concealed from investigators and patients. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. The primary analysis is a per-protocol analysis. 76 (16%) participants receiving the wrong intervention due to a labelling error in the early study phase were excluded. The analysis was not appropriate, but an as-treated sensitivity analysis was reported and results did not differ.</p>",Low risk,<p>Data for this outcome were available for all participants included in the per protocol population. Reasons for missing outcome data are reported and are unrelated to the outcome (labelling error).</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to inappropriate analysis (per protocol analysis).</p>
2,1,All‐cause mortality at day 28,,SUBGROUP_AND_OVERALL,TOGETHER 2022,2022,0.0,0.0,0.0,0.0,21,679,0.0,0.0,24,679,0.0,0.0,72.168901,0.875,0.491919,1.556405,"Time point (28 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg daily for 3 days), comparator (placebo)",Low risk,<p>Centralized web- and text message-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,1,All‐cause mortality at day 28,,SUBGROUP_AND_OVERALL,Vallejos 2021,2021,0.0,0.0,0.0,0.0,4,250,0.0,0.0,3,251,0.0,0.0,10.830079,1.338667,0.302706,5.920031,"Time point (30 days), participants (WHO 1 to 3), intervention (ivermectin 12 to 24 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an team member who was not part of any other part of the study using a computer-based programme. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,2,Worsening of clinical status within 28 days: admission to hospital or death,,SUBGROUP_AND_OVERALL,Bounfrate 2021,2021,0.0,0.0,0.0,0.0,4,58,0.0,0.0,0,31,0.0,0.0,24.681323,4.881356,0.271319,87.821417,"Time point (30 days), participants (WHO 1 to 3), intervention (ivermectin and, 0.6 mg/kg and 1.2 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were reported for all participants that were randomised and did not withdraw consent before the study start.</p>,Low risk,<p>Knowledge of intervention received could not have affected outcome measurement. It could have minimally affected the decision for need of hospitalization. But outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
