Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Carrier 2019 (AVERT),Low risk,"<p>Quote: &quot;randomization by means of a centralized, Web-based randomizations system&quot;</p>",Low risk,"<p>Quote: &quot;randomizations by means of a centralized, Web-based randomization system&quot;</p>",Low risk,"<p>Quote: &quot;placebo-controlled, double-blind&quot;</p>",Low risk,"<p>Quote: &quot;placebo-controlled, double-blind&quot;</p>",Low risk,"<p>Quote: &quot;The primary analysis was performed in the modified intention-to-treat population, which included all the participants who had undergone randomisation and received at least one dose of apixaban or placebo on or before day 180 (±3 days).&quot;</p><p>Comment: judgement based on comparison in the intervention arm between rate of participants with missing data (13/288 (4.5%)) and event rate (35/278 (12.7%)) for the main outcome - mortality at 3-6 months. Similary for the control arm: rate of participants with missing data (11/275 (4%)) and event rate (27/264 (10.2%)).</p>",Low risk,<p>All outcomes listed in the methods section and protocol were reported on. Probably free of selective reporting.</p>,Low risk,<p>Study not stopped early.</p>
Chahinian 1989,Low risk,<p>Quote: &quot;Randomized controlled trial.&quot;</p>,High risk,<p>Not reported.</p><ul><li>Comment: probably not concealed</li></ul>,High risk,"<p>No placebo used.</p><ul><li>Comment: probably not blinded; knowledge of the assigned intervention may have led to differential behaviours across intervention groups (e.g. differential dropout, differential cross-over to an alternative intervention or differential administration of co-interventions.</li></ul>",Low risk,"<p>No placebo used.</p><ul><li>Comment: probably not blinded; knowledge of the assigned intervention is unlikely to have impacted on the assessment of the physiological outcomes (mortality, DVT, PE, bleeding, etc.)</li></ul>",Low risk,<p>Comment: judgement based on comparison in the intervention arm between rate of participants with missing data (3/103 (2.9%)) and event rate (74/100 (74%)) for the main outcome - mortality at 12 months. Similarly for the control arm: rate of participants with missing data (2/86 (2.3%)) and event rate (68/84 (80.9%)).</p>,Low risk,<p>Study not registered. No published protocol. All outcomes listed in the methods section were reported on. Probably free of selective reporting.</p>,Low risk,<p>Study not stopped early.</p>
Ciftci 2012,Low risk,<p>Quote: &quot;patients with lung cancer were randomly assigned.&quot;</p>,High risk,<p>Not reported.</p><ul><li>Comment: probably not concealed</li></ul>,High risk,"<p>Not reported. No placebo used.</p><ul><li>Comment: not blinded; knowledge of the assigned intervention may have led to differential behaviours across intervention groups (e.g. differential dropout, differential cross-over to an alternative intervention, or differential administration of co-interventions.</li></ul>",Low risk,"<p>Not reported.</p><ul><li>Comment: probably not blinded; knowledge of the assigned intervention is unlikely to have impacted on the assessment of the physiological outcomes (mortality, DVT, PE, bleeding, etc.)</li></ul>",Unclear risk,<p>Not reported (data available only from abstract)</p>,Unclear risk,<p>Not reported (data available only from abstract)</p>,Low risk,<p>Study not stopped early for benefit</p>
Khorana 2019 (CASSINI),Low risk,<p>Quote: &quot;Patients...were randomly assigned ...according to a computer generated randomisation schedule.&quot;</p>,High risk,<p>Not reported</p><ul><li>Comment: probably not concealed</li></ul>,Low risk,<p>Quote: &quot;double-blind&quot;</p>,Low risk,"<p>Quote: &quot;Suspected DVT and non-fatal PE occurring during the double-blind treatment phase and the 30-day follow-up phase will be centrally adjudicated by an independent, blinded clinical end-point committee whose members.&quot;</p>",Low risk,"<p>&quot;Patients who discontinued the trial regimen were still followed up for efficacy, and 39% of all the primary endpoint events occurred in these patients&quot;.</p>",Low risk,<p>All outcomes listed in the methods section and protocol were reported on. Probably free of selective reporting.</p>,Low risk,<p>Study not stopped early</p>
Levine 1994,Low risk,<p>Quote: &quot;Patients were assigned warfarin or placebo according to a computer-generated random arrangement.&quot;</p>,High risk,<p>Not reported</p><ul><li>Comment: probably not concealed</li></ul>,Low risk,<p>Quote: &quot;Neither patients nor doctors were aware of treatment allocation.&quot;</p><ul><li>Comment: definitely blinded.</li></ul>,Low risk,"<p>Quote: &quot;The manager relayed the INR (actual value for patients on active drug, sham value for patients on placebo) to the study nurse and investigator.&quot;</p><ul><li>Comment: Definitely blinded; knowledge of the assigned intervention is unlikely to have impacted on the assessment of the physiological outcomes (mortality, DVT, PE, bleeding, etc.)</li></ul>",Low risk,<p>Comment: judgement based on comparison in the intervention arm between rate of participants with missing data (2/154 (1.3%)) and event rate (87/152 (57.2%)) for the main outcome - mortality at 12 months. Similarly for the control arm: rate of participants with missing data (1/161 (1.2%)) and event rate (99/159 (62.2%)).</p>,Low risk,<p>Study not registered. No published protocol. All outcomes listed in the methods section were reported on. Probably free of selective reporting.</p>,Low risk,<p>Study not stopped early for benefit</p>
Levine 2012,Low risk,<p>Quote: &quot;Randomization was performed centrally by contacting a computerized telephone voice response system provided by Bristol Myers Squibb (BMS).&quot; &quot;Treatment assignments were implemented with a randomisation schedule with blocks of size four; blocks were stratified by the presence (or not) of metastatic liver disease and clinical centre.&quot;</p>,High risk,<p>Not reported.</p><ul><li>Comment: probably not concealed</li></ul>,Low risk,"<p>Quote: &quot;Subjects received blister packs containing a combination of apixaban (2.5-mg or 10-mg tablets) and matching placebo tablets supplied by BMS. All subjects took four tablets orally once daily; these consisted of a combination of apixaban and matching placebo tablets for the apixaban treatment groups, or all placebo tablets for the placebo treatment group, such that the study supplies for subjects in all treatment groups were identical in appearance.&quot;</p><ul><li>Comment: blinded</li></ul>",Low risk,<p>Quote: &quot;All bleeding and VTE events were adjudicated by a committee unaware of treatment allocation.&quot;</p><ul><li>Comment: blinded</li></ul>,Low risk,<p>Complete follow-up</p>,Low risk,<p>Study not registered. No published protocol. All outcomes listed in the methods section were reported on.</p><p>Quote: &quot;Study protocol approved by Institutional Review Board of each participating centre.&quot;</p><p>Comment: probably free of selective reporting</p>,Low risk,<p>Study not stopped early for benefit</p>
Maurer 1997,Low risk,<p>Quote: &quot;Patients were randomised to receive warfarin or no warfarin.&quot;</p><p>Communication with author: &quot;allocation by central office.&quot;</p><ul><li>Comment: probably yes given this was done by a central office.</li></ul>,Low risk,<p>Communication with author: &quot;allocation by central office.&quot;</p><ul><li>Comment: yes.</li></ul>,High risk,"<p>No placebo used</p><ul><li>Comment: not blinded; knowledge of the assigned intervention may have led to differential behaviours across intervention groups (e.g. differential dropout, differential cross-over to an alternative intervention or differential administration of co-interventions.</li></ul>",Low risk,"<p>No placebo used</p><ul><li>Comment: probably not blinded; knowledge of the assigned intervention is unlikely to have impacted on the assessment of the physiological outcomes (mortality, DVT, PE, bleeding, etc.)</li></ul>",Low risk,<p>Follow-up rate: not reported</p>,Low risk,<p>Study not registered. No published protocol. All outcomes listed in the methods section were reported on. Probably free of selective reporting.</p>,Low risk,<p>Study not stopped early for benefit</p>
NCT00320255,Low risk,<p>Quote: &quot;Randomized&quot;</p>,High risk,<p>Quote: &quot;Not reported&quot;</p><ul><li>Comment: probably not concealed</li></ul>,Low risk,"<p>Quote: &quot;Double (Participant, Investigator)&quot;</p>",Low risk,"<p>Quote: &quot;Double (Participant, Investigator)&quot;</p>",Unclear risk,"<p>Not reported in published table on <a href=""http://www.ClinicalTrials.gov"" type=""EXTERNAL"">ClinicalTrials.gov</a></p>",Low risk,<p>All outcomes listed in the methods section were reported on. Probably free of selective reporting.</p>,Low risk,<p>Study not stopped early for benefit</p>
Stanford 1979,Low risk,<p>Quote: &quot;They were assigned to either the anticoagulant or control treatment groups according to a table of random numbers.&quot;</p>,High risk,<p>Not reported.</p><ul><li>Comment: probably not concealed</li></ul>,High risk,"<p>No placebo used</p><ul><li>Comment: not blinded; knowledge of the assigned intervention may have led to differential behaviours across intervention groups (e.g. differential dropout, differential cross-over to an alternative intervention or differential administration of co-interventions)</li></ul>",Low risk,"<p>No placebo used</p><ul><li>Comment: probably not blinded; knowledge of the assigned intervention is unlikely to have impacted on the assessment of the physiological outcomes (mortality, DVT, PE, bleeding, etc.)</li></ul>",Low risk,<p>Complete follow-up</p>,Unclear risk,<p>Study not registered. No published protocol. No listing of outcomes in the methods section.</p>,Low risk,<p>Study not reported as stopped early for benefit</p><p>No other bias suspected</p>
Zacharski 1984,Low risk,"<p>Quote: &quot;Patients admitted to the study were subjected to computer randomisation by hospital, performance status and tumour category to receive standard therapy either with or without warfarin anticoagulation.&quot;</p>",High risk,<p>Not reported</p><ul><li>Comment: probably not concealed</li></ul>,High risk,"<p>No placebo used</p><ul><li>Comment: not blinded; knowledge of the assigned intervention may have led to differential behaviours across intervention groups (e.g. differential dropout, differential cross-over to an alternative intervention or differential administration of co-interventions)</li></ul>",Low risk,"<p>No placebo used</p><ul><li>Comment: probably not blinded; knowledge of the assigned intervention is unlikely to have impacted on the assessment of the physiological outcomes (mortality, DVT, PE, bleeding, etc.)</li></ul>",Low risk,<p>Comment: judgment based on comparison in the intervention arm between rate of participants with missing data (5/215 (2.3%)) and event rate (138/210 (65.7%)) for the main outcome - mortality at 12 months. Similarly for the control arm: rate of participants with missing data (8/216 (3.7%)) and event rate (141/208 (67.7%))</p>,Low risk,<p>Study not registered. No published protocol. All outcomes listed in the methods section were not reported. Probably free of selective reporting.</p>,Low risk,<p>Study not stopped early for benefit</p>
